county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,FIPs,climate_zone,matched_station_fip,distance
Cumberland,Cumberland,Cumberland County,47035,TN,Tennessee,35.9504,-84.9984,60568,G4700350,4A,G4700350,5.990097998
Hood,Hood,Hood County,48221,TX,Texas,32.4299,-97.8323,60521,G4802210,3A,G4802210,1.439114115
Crawford,Crawford,Crawford County,5033,AR,Arkansas,35.588,-94.2429,60483,G0500330,3A,G0501310,19.58498079
Bradford,Bradford,Bradford County,42015,PA,Pennsylvania,41.7887,-76.5154,60233,G4200150,5A,G3600150,36.53123465
Pender,Pender,Pender County,37141,NC,North Carolina,34.5248,-77.9051,59964,G3701410,3A,G3701330,29.4247818
Washington,Washington,Washington County,39167,OH,Ohio,39.4553,-81.4953,59942,G3901670,4A,G5401070,8.565532649
Mercer,Mercer,Mercer County,54055,WV,West Virginia,37.4055,-81.1114,59892,G5400550,4A,G5400550,10.09981629
Otter Tail,Otter Tail,Otter Tail County,27111,MN,Minnesota,46.4088,-95.708,59728,G2701110,7,G2700050,31.54271934
Washington,Washington,Washington County,50023,VT,Vermont,44.2736,-72.6148,59609,G5000230,6A,G5000230,6.042555121
Sampson,Sampson,Sampson County,37163,NC,North Carolina,34.9916,-78.3714,59468,G3701630,3A,G3701630,1.194254802
Sandusky,Sandusky,Sandusky County,39143,OH,Ohio,41.3562,-83.1464,59013,G3901430,5A,G3901730,26.91335374
Otsego,Otsego,Otsego County,36077,NY,New York,42.6338,-75.0326,58952,G3600770,6A,G3600650,49.11296367
Pike,Pike,Pike County,21195,KY,Kentucky,37.4691,-82.3958,58914,G2101950,4A,G5101950,34.54680285
Lowndes,Lowndes,Lowndes County,28087,MS,Mississippi,33.4729,-88.4433,58904,G2800870,3A,G2800870,9.791646279
Blount,Blount,Blount County,1009,AL,Alabama,33.9809,-86.5674,58884,G0100090,3A,G0100430,21.6635085
Van Zandt,Van Zandt,Van Zandt County,48467,TX,Texas,32.5637,-95.8365,58782,G4804670,3A,G4804990,26.55303358
Kenai Peninsula,Kenai Peninsula,Kenai Peninsula Borough,2122,AK,Alaska,60.2654,-151.5652,58711,G0201220,7,G0201220,31.34585294
Russell,Russell,Russell County,1113,AL,Alabama,32.2884,-85.1849,58695,G0101130,3A,G1300530,13.88142812
Lincoln,Lincoln,Lincoln County,29113,MO,Missouri,39.058,-90.96,58689,G2901130,4A,G2901890,34.8054994
Newton,Newton,Newton County,29145,MO,Missouri,36.9055,-94.3393,58634,G2901450,4A,G2900970,20.14108319
Huron,Huron,Huron County,39077,OH,Ohio,41.1463,-82.598,58583,G3900770,5A,G3901390,23.23675565
Lawrence,Lawrence,Lawrence County,39087,OH,Ohio,38.5984,-82.5368,58570,G3900870,4A,G5400990,16.05483451
Pickaway,Pickaway,Pickaway County,39129,OH,Ohio,39.6419,-83.0244,58458,G3901290,5A,G3900450,26.60937054
Genesee,Genesee,Genesee County,36037,NY,New York,43.0009,-78.1937,58387,G3600370,5A,G3600290,36.56067111
Pike,Pike,Pike County,42103,PA,Pennsylvania,41.332,-75.0338,58345,G4201030,5A,G4200890,27.35498809
Autauga,Autauga,Autauga County,1001,AL,Alabama,32.5349,-86.6427,58239,G0100010,3A,G0101010,21.77225561
Columbia,Columbia,Columbia County,55021,WI,Wisconsin,43.4666,-89.3337,58219,G5500210,6A,G5500250,23.05074059
Acadia,Acadia,Acadia Parish,22001,LA,Louisiana,30.2906,-92.412,58200,G2200010,2A,G2200550,29.91866653
Anderson,Anderson,Anderson County,48001,TX,Texas,31.8133,-95.6525,58133,G4800010,2A,G4800010,4.35872068
Lyon,Lyon,Lyon County,32019,NV,Nevada,39.0206,-119.189,58029,G3200190,5B,G3205100,39.51650112
Carson City,Carson City,Carson City,32510,NV,Nevada,39.1511,-119.7476,57957,G3205100,5B,G3205100,2.981243247
Oxford,Oxford,Oxford County,23017,ME,Maine,44.4999,-70.7566,57807,G2300170,6A,G3300070,29.47770155
Vermilion,Vermilion,Vermilion Parish,22113,LA,Louisiana,29.8466,-92.3237,57775,G2201130,2A,G2201130,18.84103297
Maverick,Maverick,Maverick County,48323,TX,Texas,28.7426,-100.3145,57769,G4803230,2B,G4804630,51.05607373
Windsor,Windsor,Windsor County,50027,VT,Vermont,43.5799,-72.5862,57593,G5000270,6A,G5000270,16.98479369
Jefferson,Jefferson,Jefferson County,54037,WV,West Virginia,39.3076,-77.8628,57542,G5400370,4A,G5100690,22.65922278
Putnam,Putnam,Putnam County,54079,WV,West Virginia,38.5086,-81.909,57385,G5400790,4A,G5400390,23.81580872
Gordon,Gordon,Gordon County,13129,GA,Georgia,34.5032,-84.8759,57274,G1301290,4A,G1303130,15.14135014
Coffee,Coffee,Coffee County,47031,TN,Tennessee,35.4906,-86.0748,57227,G4700310,4A,G4701490,47.26424485
Box Elder,Box Elder,Box Elder County,49003,UT,Utah,41.521,-113.0821,56891,G4900030,6B,G4900570,77.39185911
Hawkins,Hawkins,Hawkins County,47073,TN,Tennessee,36.4412,-82.9447,56803,G4700730,4A,G4701630,37.84752536
Colbert,Colbert,Colbert County,1033,AL,Alabama,34.7005,-87.8049,56789,G0100330,3A,G0100330,14.48826032
Chisago,Chisago,Chisago County,27025,MN,Minnesota,45.5025,-92.9083,56328,G2700250,6A,G2700250,13.87118329
